alg,seed,train,test,"theta [d1, t1, a1,  d2, t2, a2]",pop_size,gens,time(seconds)
GWO,2,-249554.73432844505,-8494.660099000004,"[5.2178754228842505, 1.091957349557951, 0.0781069544552908, 65.37765265304506, 1.6273039291804139, 0.3066236418517296, -4.0]",50,100,15.88
GWO,3,-84588.71234154444,-5737.051267145288,"[5.0, 1.3089095513586109, 0.14421175568710118, 26.866206589279315, 0.5403368925178932, 0.06807396007187509, -4.0]",50,100,16.34
GWO,1,-249554.73432844505,-8356.592633916503,"[5.0, 1.0788261381304027, 0.3341357801371843, 30.51125715272509, 2.227350590185736, 0.30686729462222884, -4.0]",50,100,17.25
GWO,4,-249554.73432844505,-8494.660099000004,"[5.0, 0.8823834807547725, 0.103785591703261, 35.26788030894301, 2.407353034475617, 0.30669027810832356, -4.0]",50,100,17.15
GWO,5,-249554.73432844505,-9181.19522451964,"[5.0, 1.4896187772625291, 0.05, 32.49468445230447, 2.2491107259595484, 0.3075030143698439, -4.0]",50,100,16.87
GWO,6,-249554.73432844505,-8494.660099000004,"[5.0, 0.6045751926817755, 0.05, 34.93840370751374, 1.5521015983621076, 0.30658301988729236, -4.0]",50,100,17.14
GWO,7,-250773.36317043938,-8356.592633916503,"[5.430581792561989, 0.9849070430904173, 0.09593500723587156, 25.639261816771874, 1.789831022617174, 0.3066003237282338, -4.0]",50,100,17.18
GWO,10,-250773.36317043938,-8180.469520277125,"[5.080087919114419, 1.0529766003866798, 0.09337421297454412, 26.076596737517445, 1.9841694943305226, 0.3062049042038299, -4.0]",50,100,15.62
GWO,11,-249554.73432844505,-9181.19522451964,"[5.0, 0.6279265615840695, 0.05020562898073544, 29.830298231934638, 1.7244629262881037, 0.3075040909036219, -4.0]",50,100,16.21
GWO,8,-249554.73432844505,-9181.19522451964,"[5.0, 0.592573994147092, 0.27418565609012496, 28.82871008911212, 1.7469400537108768, 0.3078441229468117, -3.867392765519698]",50,100,17.83
GWO,9,-249554.73432844505,-8356.592633916503,"[5.0, 1.0195536613922265, 0.5, 32.936188711557115, 2.027591651689137, 0.3068144062158864, -4.0]",50,100,17.65
GWO,14,-249554.73432844505,-9178.145542800032,"[5.0, 0.8826030297718092, 0.18189064495731314, 97.87752006499284, 2.145511389171166, 0.3077463167858752, -4.0]",50,100,15.24
GWO,12,-249554.73432844505,-8356.592633916503,"[5.0, 1.3836021788651058, 0.33968551929445806, 99.02274945289851, 1.5344770611112704, 0.30700510088801586, -3.8322680314943036]",50,100,18.59
GWO,13,-243619.210702929,-7782.406185507594,"[5.0, 0.7895502646267678, 0.1462588238273313, 22.246589457604728, 1.9725566681227527, 0.2689036969652343, -3.753903340465259]",50,100,16.8
GWO,15,-249554.73432844505,-9178.145542800032,"[5.155481739464059, 1.0538409616735172, 0.1438613692009464, 31.933307103239418, 1.9850623697879495, 0.30794734365678683, -4.0]",50,100,16.97
GWO,18,-249554.73432844505,-9178.145542800032,"[5.0, 0.9541067517983709, 0.09252161759540822, 113.7345252541229, 2.0915146079147093, 0.307973083019277, -4.0]",50,100,15.41
